"Name","Lat","Lon","CI","Rank","Canton","Name2","Haus 2009","Haus 1985","Stockwerk 2009","Stockwerk 1985","Tax",,"Cor. CI/Rank","Cor. CI/Haus","Cor. CI/Tax","Std. Dev CI","Std. Dev House"
"Onex",46.18333,6.1,25,11,"GE","Onex",1585000,1208000,1019000,826000,13.7,,0.2935418728,-0.2533409647,0.013448871,43.5353857193,322227.23440449
"Meyrin",46.23424,6.08025,0,18,"GE","Meyrin",1485000,1131000,959000,777000,13.29,,,,,,
"Carouge",46.18096,6.13921,46,10,"GE","Carouge",1604000,1222000,1025000,831000,12.84,,,,,,
"Le Grand-Saconnex",46.23333,6.13333,35,9,"GE","Le Grand-Saconnex",1604000,1222000,1040000,843000,13.21,,,,,,
"Versoix",46.28333,6.16667,25,8,"GE","Versoix",1622000,1235000,1041000,843000,13.59,,,,,,
"Nyon",46.38318,6.23955,63,23,"VD","Nyon",1405000,1070000,927000,751000,13.96,,,,,,
"Pully",46.51027,6.66183,124,17,"VD","Pully",1487000,1132000,972000,788000,14.28,,,,,,
"Yverdon-les-Bains",46.77852,6.64115,123,96,"VD","Yverdon-les-Bains",879000,669000,600000,487000,15.03,,,,,,
"Montreux",46.442352,6.905115,88,75,"VD","Montreux",1025000,781000,691000,560000,14.35,,,,,,
"Freiburg",46.801666,7.145568,124,105,"FR","Freiburg",843000,643000,589000,478000,14.54,,,,,,
"Biel",47.140187,7.243773,162,95,"BE","Biel",887000,676000,616000,499000,14.86,,,,,,
"Lyss",47.0741,7.30655,134,101,"BE","Lyss",857000,652000,600000,487000,15.09,,,,,,
"Ittigen",46.97434,7.48281,220,76,"BE","Ittigen",1024000,780000,690000,560000,13.95,,,,,,
"Ostermundigen",46.93456,7.50435,106,65,"BE","Ostermundigen",1064000,810000,727000,590000,14.94,,,,,,
"Worb",46.92984,7.56306,81,89,"BE","Worb",921000,702000,640000,519000,14.89,,,,,,
"Binningen",47.54021,7.56932,124,19,"BL","Binningen",1453000,1107000,942000,764000,11.79,,,,,,
"Thun",46.75118,7.62166,116,90,"BE","Thun",921000,701000,638000,517000,15.29,,,,,,
"Steffisburg",46.77807,7.63249,69,97,"BE","Steffisburg",877000,668000,616000,500000,15.21,,,,,,
"Burgdorf",47.057838,7.620387,127,106,"BE","Burgdorf",840000,639000,590000,478000,14.87,,,,,,
"Riehen",47.57884,7.64683,49,20,"BS","Riehen",1439000,1096000,934000,757000,12.96,,,,,,
"Spiez",46.68473,7.69111,102,91,"BE","Spiez",914000,696000,633000,513000,15,,,,,,
"Pratteln",47.52071,7.69356,119,66,"BL","Pratteln",1061000,808000,725000,587000,13.25,,,,,,
"Rheinfelden",47.56667,7.8,76,77,"AG","Rheinfelden",1022000,779000,705000,572000,12.69,,,,,,
"Oftringen",47.31667,7.91667,172,111,"AG","Oftringen",803000,612000,564000,457000,12.79,,,,,,
"Kriens",47.03537,8.27631,123,81,"LU","Kriens",994000,757000,688000,558000,12.51,,,,,,
"Emmen",47.079596,8.281228,92,94,"LU","Emmen",900000,685000,627000,509000,12.84,,,,,,
"Wohlen",47.351976,8.275728,98,100,"AG","Wohlen",862000,656000,605000,490000,12.79,,,,,,
"Ebikon",47.07937,8.34041,92,84,"LU","Ebikon",978000,745000,671000,544000,12.4,,,,,,
"Spreitenbach",47.42016,8.36301,122,92,"AG","Spreitenbach",913000,696000,632000,512000,12.1,,,,,,
"Wettingen",47.464216,8.326462,136,69,"AG","Wettingen",1052000,801000,719000,583000,11.51,,,,,,
"Cham",47.18213,8.46358,92,22,"ZG","Cham",1420000,1081000,933000,757000,7.01,,,,,,
"Arth",47.063272,8.521823,86,82,"SZ","Arth",985000,751000,678000,549000,8.45,,,,,,
"Baar",47.19625,8.52954,115,27,"ZG","Baar",1368000,1042000,894000,724000,6.64,,,,,,
"Zug",47.174589,8.513854,115,13,"ZG","Zug",1552000,1182000,996000,807000,6.72,,,,,,
"Adliswil",47.30997,8.52462,138,26,"ZH","Adliswil",1370000,1043000,893000,724000,10.61,,,,,,
"Thalwil",47.29175,8.56351,158,15,"ZH","Thalwil",1548000,1179000,983000,797000,16,,,,,,
"Zollikon",47.34019,8.57407,123,3,"ZH","Zollikon",2147000,1635000,1318000,1068000,8.89,,,,,,
"Schaffhausen",47.699925,8.641221,77,103,"SH","Schaffhausen",852000,649000,598000,484000,13.32,,,,,,
"Locarno",46.17086,8.79953,34,70,"TI","Locarno",1040000,792000,702000,569000,11.83,,,,,,
"Freienbach",47.20534,8.75842,122,12,"SZ","Freienbach",1557000,1186000,1010000,818000,4.87,,,,,,
"Lugano",46.01008,8.96004,34,71,"TI","Lugano",1034000,787000,703000,607000,10.37,,,,,,
"Wil",47.466502,9.045658,114,93,"SG","Wil",910000,693000,622000,504000,13.14,,,,,,
"Gossau",47.413807,9.257917,103,112,"SG","Gossau",798000,608000,561000,454000,12.98,,,,,,
"Arbon",47.516719,9.431605,78,107,"TG","Arbon",833000,635000,587000,476000,13.91,,,,,,
