1,ZH,Küsnacht,2169000,1652000,1347000,1092000,8.75,
2,GE,Genf,2148000,1636000,1340000,1086000,13.33,
3,ZH,Zollikon,2147000,1635000,1318000,1068000,8.89,
4,GE,Chêne-Bougeries,2063000,1571000,1287000,1042000,12.46,
5,ZH,Meilen,1768000,1347000,1136000,921000,9.13,
6,ZH,Zürich,1761000,1341000,1115000,903000,11.00,
7,GE,Thônex,1725000,1315000,1105000,895000,13.21,
8,GE,Versoix,1622000,1235000,1041000,843000,13.59,
9,GE,Le Grand-Saconnex,1604000,1222000,1040000,843000,13.21,
10,GE,Carouge,1604000,1222000,1025000,831000,12.84,
11,GE,Onex,1585000,1208000,1019000,826000,13.70,
12,SZ,Freienbach,1557000,1186000,1010000,818000,4.87,
13,ZG,Zug,1552000,1182000,996000,807000,6.72,
14,ZH,Dübendorf,1550000,1181000,1014000,822000,10.75,
15,ZH,Thalwil,1548000,1179000,983000,797000,16,
17,VD,Pully,1487000,1132000,972000,788000,14.28,
18,GE,Meyrin,1485000,1131000,959000,777000,13.29,
19,BL,Binningen,1453000,1107000,942000,764000,11.79,
20,BS,Riehen,1439000,1096000,934000,757000,12.96,
21,ZH,Stäfa,1430000,1090000,937000,759000,9.13,
22,ZG,Cham,1420000,1081000,933000,757000,7.01,
23,VD,Nyon,1405000,1070000,927000,751000,13.96,
24,ZH,Horgen,1403000,1069000,921000,747000,9.56,
25,ZH,Wädenswil,1370000,1043000,900000,730000,10.75,
26,ZH,Adliswil,1370000,1043000,893000,724000,10.61,
27,ZG,Baar,1368000,1042000,894000,724000,6.64,
28,BE,Muri bei Bern,1367000,1041000,899000,728000,12.82,
29,GE,Vernier,1356000,1033000,88600,718000,13.67,
30,BL,Oberwil,1336000,1017000,882000,715000,11.95,
31,BS,Basel,1336000,1017000,881000,714000,14.30,
32,VD,Lausanne,1317000,1004000,869000,704000,15.19,
33,SZ,Küssnacht,1313000,1000000,877000,711000,7.21,
34,GR,Davos,1289000,982000,855000,693000,12.23,
35,BL,Reinach,1276000,972000,852000,690000,12.44,
36,BL,Allschwil,1276000,972000,848000,687000,12.91,
